,0,1,2
1.0,60.5,22.5,16.7
2.0,46.0,40.1,13.5
3.0,71.0,8.4,20.5
4.0,72.8,5.9,20.7
5.0,58.3,25.5,15.5
6.0,44.0,42.7,13.7
7.0,44.0,42.7,13.7
8.0,69.3,10.6,19.3
9.0,61.4,19.9,17.7
10.0,61.4,19.9,17.7
11.0,41.4,46.0,12.5
12.0,76.6,0.9,21.2
13.0,72.7,2.9,21.7
14.0,71.4,3.5,21.5
15.0,69.8,4.0,21.3
16.0,74.5,5.2,20.2
17.0,73.5,5.6,20.0
18.0,74.1,6.3,19.2
19.0,67.3,7.2,20.1
20.0,71.8,7.8,20.2
21.0,72.45,7.9,19.7
22.0,71.6,9.2,18.7
23.0,69.4,9.3,18.2
24.0,67.9,10.2,21.5
25.0,65.5,12.5,17.0
26.0,64.6,13.5,16.7
27.0,65.5,13.5,16.2
28.0,61.4,14.6,15.8
29.0,61.4,14.6,15.8
30.0,66.2,16.3,17.5
31.0,67.1,18.6,11.6
32.0,60.5,20.9,17.2
33.0,60.6,21.2,17.8
34.0,60.6,25.1,11.0
35.0,57.6,26.5,11.1
36.0,53.5,27.8,13.2
37.0,56.0,29.7,14.4
38.0,50.3,30.4,19.2
39.0,52.5,31.5,16.0
40.0,49.5,35.2,15.2
41.0,49.1,35.8,15.2
42.0,42.2,43.8,13.3
43.0,40.2,48.2,11.0
44.0,39.5,48.5,12.0
45.0,39.3,49.1,13.1
46.0,72.5,8.2,19.3
47.0,70.3,11.0,19.3
48.0,76.6,0.9,21.2
49.0,74.0,3.6,21.6
50.0,75.1,3.9,21.2
51.0,69.8,4.0,21.3
52.0,74.6,5.1,19.6
53.0,73.1,5.2,20.7
54.0,74.5,5.2,20.2
55.0,73.4,5.6,20.5
56.0,74.2,5.6,19.5
57.0,73.6,6.0,20.1
58.0,72.5,6.4,20.9
59.0,72.5,6.4,20.9
60.0,72.7,6.4,20.4
61.0,72.5,6.6,20.4
62.0,72.5,6.6,20.4
63.0,71.5,6.7,21.5
64.0,72.6,6.8,19.6
65.0,72.5,6.9,20.2
66.0,69.1,7.0,20.5
67.0,72.8,7.2,19.5
68.0,72.7,7.2,18.9
69.0,72.1,7.2,20.5
70.0,71.6,7.7,20.7
71.0,71.6,7.7,20.7
72.0,70.8,7.7,20.8
73.0,72.0,8.1,19.4
74.0,71.2,8.4,19.7
75.0,70.3,8.5,21.0
76.0,69.5,9.6,20.1
77.0,68.5,9.7,21.6
78.0,70.5,9.7,19.2
79.0,67.3,10.1,20.1
80.0,69.3,10.1,20.5
81.0,69.3,10.1,20.5
82.0,69.4,10.9,19.1
83.0,69.5,10.9,19.2
84.0,67.0,11.0,21.8
85.0,69.0,11.2,19.5
86.0,72.9,11.2,13.7
87.0,66.8,11.7,19.0
88.0,68.6,12.7,17.8
89.0,71.3,13.8,12.6
90.0,67.3,14.0,18.6
91.0,66.7,15.4,17.2
92.0,65.9,15.5,19.2
93.0,65.6,15.7,18.4
94.0,66.2,16.4,17.4
95.0,65.6,16.4,18.0
96.0,65.0,16.4,17.4
97.0,64.6,17.2,19.4
98.0,63.3,17.4,19.2
