description,title,url,date,location,images,address,server,price,image_urls,spider,project
"
","
",,,,,&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;,,50,https://i.ebayimg.com/00/s/NzAwWDEwMDA=/z/VeoAAOSwY7taXfDA/$_99.JPG,,
"
","
",,,,,&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;,,385,https://i.ebayimg.com/00/s/NDUwWDYwMA==/z/fREAAOSwfpBaX0BR/$_99.JPG,,
"
","
",,,,,&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;,,"1,500",https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/7a0AAOSwuQxacbwj/$_99.JPG,,
"
","
",,,,,"
Tower Hamlets, London
",,180,https://i.ebayimg.com/00/s/NTc1WDEwMjQ=/z/9GYAAOSww85aaHfV/$_99.JPG,,
"
","
",,,,,"
Chelsea, London
",,900,https://i.ebayimg.com/00/s/MTk4WDEwMjQ=/z/K24AAOSwExlaT5Rb/$_99.JPG,,
"
","
",,,,,"
Romford, London
",,"1,950",https://i.ebayimg.com/00/s/MTk4WDEwMjQ=/z/GT4AAOSwMGVaT6sQ/$_99.JPG,,
"
FROM £200 PER EVENT ★ 1600sq ft MODERN CLEAN WHITE ROOM EVENT SPACE ★ HD PROJECTOR ★ RIVER VIEW ★ FREE WIFI ★ UP TO 150 PEOPLE ★ STYLING ROOM WITH 2 MAKE-UP STATIONS ★ 55” WALL MOUNTED TV ★ 27&quot; IMAC ★ FULLY EQUIPPED ★ TABLES & CHAIRS INCLUSIVE ★
","
Canary Wharf Corporate Event Conference Venue Hire Exhibition Location Film Studio Space East London
",,,,,"
Tower Hamlets, London
",,"1,300",https://i.ebayimg.com/00/s/NjgzWDEwMjQ=/z/2VAAAOSwevdaKnM7/$_99.JPG,,
"
A spacious modern Studio apartment available on the ground floor of Roland House, situated in the quiet and highly desirable area of South Kensington. Conveniently located less than 5 minutes walk from Gloucester Road and South Kensington tube statio
","
Fully furnished Studio Gym, SPA available now!!!
",,,,,"
Kilburn, London
",,780,https://i.ebayimg.com/00/s/NjUwWDEwMjQ=/z/uCAAAOSwEEBaKqM3/$_99.JPG,,
"
I am looking for a clean, neat and tidy vehicle/mechanic/technician professional, to rent space in a 4 ramp garage. Preferably prestige make specialist.
24 hour access.
Includes all bills (business rates, electricity, water)
parking spaces.
Long
","
Vehicle workshop available to rent/share
",,,,,"
Notting Hill, London
",,"3,400",https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/D8kAAOSw37BaZxbi/$_99.JPG,,
"
FULL DAY HIRE FROM £180 ★ 1700sq ft ★ BRICK WALLS ★ RIVER VIEW ★ LUXURY MODERN WAREHOUSE APARTMENT ★ FREE WIFI ★ SHOWER ROOMS ★ DRESSING ROOM WITH 2 MAKE-UP STATIONS ★ ALL WHITE MODERN HIGH-END KITCHEN ★ 27&quot; IMAC ★ FULLY EQUIPPED ★ 20 BACKDROP
","
Lifestyle Location Space Warehouse Apartment Studio Hire Music Video Photography Kitchen East London
",,,,,"
Newham, London
",,400,https://i.ebayimg.com/00/s/MTk4WDEwMjQ=/$T2eC16hHJG8FGsjhZ91sBRyYuN0)k!~~48_99.JPG,,
"
PRICE INCLUDES ALL BILLS (£900) ONLY PROFESSIONALS PLEASE!! NO DSS!! NO HOUSING BENEFIT!!
Modern studio flat located only moments from the shops and transport links of Queens Park, Kilburn and Brondesbury Park Overground station. Excellent locati
","
Studio Flat, Incudes All Bills, Excellent Location near London Undergrounds
",,,,,"
Wimbledon, London
",,"1,600",https://i.ebayimg.com/00/s/MjUwWDI1MA==/z/w88AAOSwdnZaPOhX/$_99.JPG,,
